project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
Ethiopia Promoting Basic Services Program Phase III Project,Ethiopia,"Water supply and sanitation|Agriculture, forestry, fishing|Health|Transport and storage|Basic education",2012,589106229.923
ML SAC III-Supplemental,Mali,"Agriculture, forestry, fishing|Transport and storage|Government and civil society, general",2003,18063187.9215
Fifth Dimension: FY03 IDA Reflows,Kenya,"Government and civil society, general",2003,638232.639892
Emergency Reconstruction,Eritrea,"Other social infrastructure and services|Banking and financial services|Transport and storage|Energy generation and supply|Agriculture, forestry, fishing",2000,114991046.733
Economic Management and Governance Reform Grant III,Central African Republic,"Forestry|Banking and financial services|Government and civil society, general|Mineral resources and mining",2010,8987594.739589998
"Irrigation, Rural Livelihoods and Agricultural Development Project",Malawi,Industry|Agriculture,2010,12970733.3174
BJ-Forest & Adjacent Land Mgmt Addit Fin,Benin,Forestry|Agriculture,2013,2065827.68171
Mauritius Fourth Development Policy Loan,Mauritius,"Communications|Banking and financial services|Government and civil society, general",2009,51748236.5495
Additional Financing for Ghana Urban Water Project,Ghana,Water supply and sanitation,2012,49092185.8269
Additional Financing for the Tanzania Energy Development and Access Expansion Project,Tanzania,Energy generation and supply,2011,27880000.0
Development Finance Project,Nigeria,Banking and financial services,2014,500000000.0
Second Emergency Demobilization and Reintegration Project,Rwanda,Other social infrastructure and services,2009,8279717.84792
Urban Local Government Strengthening Program,Tanzania,"Government and civil society, general",2012,250370147.717
RY Higher Education Quality Improvement,Yemen,"Post-secondary education|Education, level unspecified",2010,13277128.5926
Nigeria - State Education Program Investment Project,Nigeria,Secondary education|Basic education,2013,154937076.128
West Africa Agricultural Productivity Program 2A,Western Africa,Industry|Agriculture,2012,117821245.985
Public Works and Urban Management Project - Additional Financing,Burundi,"Education, level unspecified|Industry|Health|General environmental protection|Transport and storage",2012,14727655.7481
NATURAL RESOURCES MANAGEMENT IN A CHANGING CLIMATE IN MALI,Mali,"Other social infrastructure and services|Agriculture|Government and civil society, general|Agriculture, forestry, fishing",2013,12394966.0903
Irrigation Rural Livelihoods and Agricultural Development Project AF II,Malawi,Industry|Agriculture|Transport and storage,2012,49092185.8269
Uganda: Albertine Region Sustainable Development Project,Uganda,"Government and civil society, general|Transport and storage|Mineral resources and mining|Secondary education",2014,145000000.0
Mozambique -Roads and Bridges Management and Maintenance Program - Phase II,Mozambique,"Government and civil society, general|Transport and storage",2007,106714021.51200001
AFCC2/RI-Central African Backbone - APL3 - Republic of Congo,Eastern Africa,Communications,2011,15000000.0
Bamako Water Supply Project,Mali,Water supply and sanitation,2013,82633107.2684
Second Urban Poverty Reduction Project (PREPUD II),Djibouti,"Transport and storage|General environmental protection|Government and civil society, general|Other social infrastructure and services",2014,5600000.0
Health Sector Support Additional Financing,Kenya,Health,2011,56800000.0
TZ-Second Power and Gas Sector DPO,Tanzania,Energy generation and supply|Mineral resources and mining,2014,100000000.0
Rwanda Competitiveness and Enterprise Dev Additional Financing,Rwanda,"Banking and financial services|Government and civil society, general",2008,6263914.83005
Access to Finance for SMEs,Turkey,"Banking and financial services|Government and civil society, general",2007,71178252.3483
Health Reform Support Project (HRSP),Yemen,"Health|Government and civil society, general",2002,33849143.6253
CAR-Agro-Pastoral Recovery Project,Central African Republic,Industry|Agriculture,2011,23800000.0
SUPPLEMENTAL CREDIT FOR SECOND HEALTH PROJECT (CRESAN II),Madagascar,"Health, general|Health|Government and civil society, general",2005,20404549.9018
Second Additional Financing to the Second Mining Sector Capacity Building Project,Mauritania,Post-secondary education|Mineral resources and mining|Energy generation and supply|Secondary education,2011,7100000.0
Additional Financing - Electricity Sector Efficiency Enhancement Project,Guinea,Water supply and sanitation|Energy generation and supply,2012,17967740.0127
Third National Urban Water Sector Reform Project,Nigeria,"Water supply and sanitation|Government and civil society, general",2014,250000000.0
Performance Results and Accountability Project,Tanzania,"Government and civil society, general",2007,42685608.6047
EG-Railways Restructuring Additional Financing,Egypt,Transport and storage,2010,337034802.735
Technical Education Vocational & Entrepreneurship Training (TEVET) Development Program Support Project,Zambia,"Health|Government and civil society, general|Secondary education",2001,31236110.8633
Kenya Youth Empowerment Project,Kenya,Other social infrastructure and services|Secondary education,2010,61279055.0427
CM-Energy Sector Development SIL (FY08),Cameroon,"Government and civil society, general|Energy generation and supply",2008,67859077.3256
Kenya Coastal Development Project,Kenya,"Agriculture, forestry, fishing|Agriculture",2010,35746115.4415
IQ-EMERGENCY WATER SUPPLY PROJECT,Iraq,"Water supply and sanitation|Government and civil society, general",2008,114316445.64799999
Additional Financing for Zambia Increased Access to Electricity Services Project,Zambia,Energy generation and supply,2010,20426351.6809
AFCC2/RI-RCIP3 - Regional Communications Infrastructure Program - Phase 3,Eastern Africa,"Communications|Health|Government and civil society, general",2009,156279674.379
National Rural Infrastructure Project,Mali,"Water supply and sanitation|Agriculture|Transport and storage|Government and civil society, general",2000,147060771.989
CG Rep. Health Sector Services Development,Congo,"Health|Government and civil society, general",2008,41759432.2003
Urban Natural Hazard Vulnerability Reduction in the Wilaya of Algiers Project,Algeria,"Forestry|Other social infrastructure and services|General environmental protection|Government and civil society, general",2002,108752515.57
Agricultural Reform Implementation Project (ARIP),Turkey,"Industry|Agriculture|Government and civil society, general",2001,749666660.719
Poverty Reduction Strategy Credit - 1st PRSC,Benin,"Forestry|Water supply and sanitation|Health|Government and civil society, general|Basic education",2004,23424704.7126
Multisectoral HIV/AIDS Project,Cameroon,"Other social infrastructure and services|Health|Government and civil society, general",2001,62472221.7266
Multisectoral HIV/AIDS Control and Orphans Project,Burundi,"Other social infrastructure and services|Basic education|Health|Government and civil society, general|Secondary education",2002,44263318.9433
Competitiveness and Employment Development Policy Loan (CEDPL),Turkey,"Banking and financial services|Government and civil society, general",2007,533570107.559
ENERGY/WATER/SANITATION SECTOR REFORM TECHNICAL ASSISTANCE PROJECT,Mauritania,"Government and civil society, general",2000,12649015.1407
DJ-Urban Poverty Reduction Add Financing,Djibouti,"Water supply and sanitation|Education, level unspecified|Transport and storage|Other social infrastructure and services",2010,2961820.9937299998
Cape Verde - DPL 1/PRSC VI,Cabo Verde,"Banking and financial services|Energy generation and supply|Government and civil society, general",2010,10213175.8404
Mozambique Nutrition Additional Financing,Mozambique,"Health, general|Health|Government and civil society, general",2013,38217812.1117
Financial Sector and Public Financial Management Development Policy Credit,Nigeria,"Banking and financial services|Government and civil society, general",2009,517482365.495
Emergency Urban Infrastructure Rehabilitation and Maintenance Project - Additional Financing,Central African Republic,"Water supply and sanitation|Government and civil society, general|General environmental protection|Transport and storage",2010,24409490.2587
Natural Resources and Environmental Governance Project,Ghana,Forestry|Other social infrastructure and services|Transport and storage|Energy generation and supply|Mineral resources and mining,2008,20879716.1002
Community Development Fund Supplemental Credit,Madagascar,"Water supply and sanitation|Other social infrastructure and services|Health|Transport and storage|Education, level unspecified",2004,58561761.7814
Economic Management and Governance Reform Grant,Central African Republic,"Forestry|Mineral resources and mining|Government and civil society, general",2008,8247487.859569999
Tunisia Employment DPL,Tunisia,Other social infrastructure and services,2010,51065879.2022
TRANSPORT CORRIDORS IMPROVEMENT PROJECT,Mali,"Other social infrastructure and services|Transport and storage|Government and civil society, general",2004,57039155.9751
Quality Education for All Program,Senegal,"Education, level unspecified|Government and civil society, general",2000,63883914.8518
AO-Market Oriented Smallholder Agriculture Project,Angola,"Water supply and sanitation|Agriculture, forestry, fishing|Agriculture",2008,31319574.1503
First Governance and Competitiveness Development Policy Operation,Sao Tome and Principe,"Government and civil society, general",2012,4123743.60946
"FINANCIAL MANAGEMENT, TRANSPARENCY AND ACCOUNTABILITY PROJECT (FIMTAP)",Malawi,"Government and civil society, general",2003,28539836.9159
DRC Education Sector Project,Democratic Republic of Congo,"Education, level unspecified|Government and civil society, general|Post-secondary education|Basic education",2007,160071032.268
Senegal Sustainable and Inclusive Agribusiness Project,Senegal,"Agriculture, forestry, fishing|Industry|Agriculture",2013,82633107.2684
Second Health Systems Development II - Additional Financing,Nigeria,"Health, general|Health",2008,93958722.4508
Second Environmental Management and Capacity Building Project,Uganda,"Other social infrastructure and services|Government and civil society, general",2001,27487777.5597
Post-Primary Education,Burkina Faso,"Post-secondary education|Government and civil society, general|Secondary education",2006,25146565.218000002
Malawi Emergency Recovery Loan,Malawi,"Communications|Industry|Agriculture|Government and civil society, general|Energy generation and supply",2005,34007583.1696
Additional Financing for the Felou Hydroelectric Project (WAPP APL2),Africa,"Water supply and sanitation|Government and civil society, general",2009,87972002.1341
Growth and Competitiveness Project,Cabo Verde,"Other social infrastructure and services|Banking and financial services|Government and civil society, general|Transport and storage",2003,13848444.0731
Tunisia Northern Tunis Wastewater Project,Tunisia,Water supply and sanitation,2010,53108514.3703
MUNICIPAL SERVICES - ADDITIONAL FINANCING,Turkey,Water supply and sanitation,2010,245116220.17099997
ET-ICT Assisted Dev SIM (FY05),Ethiopia,"Communications|Health|Government and civil society, general|Education, level unspecified",2004,29280880.8907
Niger Reform Management and TA,Niger,"Banking and financial services|Government and civil society, general",2009,10349647.3099
Yemen Schistosomiasis,Yemen,Health,2009,25874118.2747
Productive Safety Net APL III,Ethiopia,Other social infrastructure and services|Agriculture,2009,496783070.875
Uganda Third Power Supplemental,Uganda,Energy generation and supply,2000,42163383.8022
Malaria Control Booster Project - Additional Financing,Nigeria,"Health, general|Health",2009,103496473.09899999
Skills Development Support Project,Mauritania,"Education, level unspecified|Secondary education",2011,16000000.0
Second Rural Access Project,Yemen,"Government and civil society, general|Transport and storage",2005,45343444.2261
Affordable Mortgage Finance DPL,Egypt,Banking and financial services,2009,310489419.297
Decentralized Service Delivery Program II,Sierra Leone,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2011,26000000.0
Supplemental Grant - Second Social Action Project,Burundi,"Water supply and sanitation|Other social infrastructure and services|Health|Transport and storage|Education, level unspecified",2003,17099817.899
AF Ghana Social Opportunities Project,Ghana,"Forestry|Other social infrastructure and services|Government and civil society, general|Transport and storage",2014,50000000.0
Kenya - KTCIP/Additional Financing (RCIP 1),Kenya,Communications|Banking and financial services,2012,54099588.7813
Uganda Health Systems Strengthening Project,Uganda,"Post-secondary education|Health, general|Health|Other social infrastructure and services",2010,132771285.926
PRSC 3,Mozambique,"Education, level unspecified|Health|Government and civil society, general",2007,74699815.0582
Social Sector Support (Additional Financing),Sao Tome and Principe,"Health, general|Health|Other social infrastructure and services",2010,2144766.92649
Cote d'Ivoire: Economic Governance & Recovery Grant (EGRG),Cote D'Ivoire,"Banking and financial services|Agriculture|Energy generation and supply|Government and civil society, general",2008,321547627.943
Liberia: Public Sector Modernization Project,Liberia,"Government and civil society, general",2014,2000000.0
Avian Influenza & Human Pandemic Preparedness & Response APL 2 Project,Turkey,"Other social infrastructure and services|Agriculture|Government and civil society, general|Health",2006,37774752.9913
Eighth Poverty Reduction Support Financing,Rwanda,"Education, level unspecified|Agriculture, forestry, fishing|Government and civil society, general|Post-secondary education",2011,125000000.0
Second Competitiveness & Employment Development Policy Loan,Turkey,"Banking and financial services|Government and civil society, general",2008,521992902.504
Electricity Access (Rural) Expansion Project Phase II,Ethiopia,"Government and civil society, general|Energy generation and supply",2007,138728227.965
Third Agreement Amending Development Credit Agreement,Cote D'Ivoire,"Transport and storage|Government and civil society, general",2002,14754439.6478
Health Insurance Project,Ghana,"Health, general|Health|Government and civil society, general",2007,16007103.2268
Sao Tome Public and Natural Resource Management Development Policy Grant,Sao Tome and Principe,"Mineral resources and mining|Government and civil society, general",2008,6263914.83005
Economic Reform Loan (ERL),Turkey,"Other social infrastructure and services|Communications|Government and civil society, general|Energy generation and supply|Agriculture, forestry, fishing",2000,970524434.428
Decentralization and Community Development Project,Rwanda,"Other social infrastructure and services|Government and civil society, general",2004,23424704.7126
Nigeria Lagos Urban Transport Project,Nigeria,"Government and civil society, general|Transport and storage",2007,53357010.7559
Agricultural Development Support Program,Zambia,"Industry|Agriculture|Transport and storage|Government and civil society, general",2006,40849442.1882
Tanzania Poverty Reduction Support Credit 8,Tanzania,"Agriculture, forestry, fishing|Energy generation and supply|Government and civil society, general|Transport and storage",2010,117451522.165
PUBLIC WORKS AND EMPLOYMENT CREATION PROJECT-SUPPLEMENTAL,Burundi,"Water supply and sanitation|Health|Transport and storage|Government and civil society, general|Basic education",2006,33601960.5097
Education Development Capacity Building Project,Cameroon,"Education, level unspecified|Health|Government and civil society, general|Basic education",2005,20631267.1229
"Eritrea HIV/AIDS/STI, TB, Malaria and Reproductive Health Project (HAMSET II)",Eritrea,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2005,27206066.5357
Kenya Transport Sector Support Project,Kenya,Transport and storage,2011,300000000.0
Cotton Sector Reform Project,Benin,"Industry|Agriculture|Government and civil society, general",2002,22131659.4717
SECOND ADDITIONAL FINANCING FOR TASAF II,Tanzania,Other social infrastructure and services,2010,35746115.4415
Cultural Assets Rehabilitation Project,Eritrea,"Other social infrastructure and services|Government and civil society, general",2001,6247222.17266
Erso II Supplemental,Ghana,"Agriculture, forestry, fishing|Banking and financial services|Government and civil society, general|Transport and storage|Energy generation and supply",2000,62606236.5548
COMMUNITY-BASED RURAL DEVELOPMENT PROJECT,Burkina Faso,"Water supply and sanitation|Agriculture, forestry, fishing|Transport and storage|Government and civil society, general|Other social infrastructure and services",2000,85221142.4123
Iran Urban Upgrading and Housing Reform Project,Iran,"Water supply and sanitation|Other social infrastructure and services|Banking and financial services|Government and civil society, general|Transport and storage",2004,93698818.8503
Transport Sector Project,Ghana,Transport and storage,2009,232867064.473
Flood Emergency Recovery Project,Mozambique,"Agriculture, forestry, fishing|Health|Transport and storage|Energy generation and supply|Education, level unspecified",2000,38330348.9111
TRANSP SECTOR ADJ. SUPPLEMENTAL,Cote D'Ivoire,"Government and civil society, general|Transport and storage",2000,27086779.8972
CONGO DRC - Pro-Routes Project (Additional Financing),Democratic Republic of Congo,Other social infrastructure and services|Transport and storage,2011,63300000.0
Supplemental Credit Project to the Fiscal Sustainability Credit Project,Zambia,"Other social infrastructure and services|Banking and financial services|Government and civil society, general|Energy generation and supply|Mineral resources and mining",2000,38841420.2299
Central African Backbone - APL2,Africa,"Communications|Government and civil society, general",2011,14900000.0
EG-Natural Gas Connections Project,Egypt,Mineral resources and mining,2008,78298935.3756
Power Distribution and Rural Electrification,Eritrea,"Government and civil society, general|Energy generation and supply",2008,18269751.5876
Accelerated Food Security Project Additional Financing,Tanzania,Agriculture,2012,24546092.9135
Accelerated Electricity Access (Rural) Expansion,Ethiopia,Other social infrastructure and services|Transport and storage|Energy generation and supply,2006,146486978.17
Coastal and Marine Biodiversity Management Project,Mozambique,"Education, level unspecified|Agriculture, forestry, fishing|Trade policy and regulations|Government and civil society, general|Other social infrastructure and services",2000,7154998.4634
Ghana - PPP Project,Ghana,"Water supply and sanitation|Banking and financial services|Health|Government and civil society, general|Transport and storage",2012,29455311.4962
Poverty Reduction Support Credit,Lesotho,"Health|Government and civil society, general|Secondary education",2008,16599374.2996
Development Learning Center Project,Burkina Faso,"Communications|Government and civil society, general|Basic education",2002,2827934.26582
Community Based Poverty Reduction Project,Nigeria,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general|Basic education",2000,76660697.8221
Cultural Heritage and Urban Development Project,Lebanon,"Water supply and sanitation|Industry|Transport and storage|Government and civil society, general",2003,37932694.6351
Second Sustainable and Participatory Energy Management (PROGEDE II),Senegal,Forestry|Agriculture|Energy generation and supply,2010,15319763.7607
READ: Results for Education Achievement and Development Project,Gambia,"Education, level unspecified|Communications|Basic education|Other social infrastructure and services",2014,11900000.0
Tunisia: Sustainable Municipal Solid Waste Management Project,Tunisia,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general",2007,23477084.7326
MZ-Education Sector Support Program,Mozambique,"Education, level unspecified|Secondary education|Basic education",2011,71000000.0
Agricultural Competitiveness and Diversification Project,Mali,"Transport and storage|Banking and financial services|Agriculture|Industry|Government and civil society, general",2005,52598395.3023
INFRASTRUCTURE SERVICES,Malawi,"Water supply and sanitation|Communications|Energy generation and supply|Transport and storage|Government and civil society, general",2006,43924131.3852
AO-Local Development Project,Angola,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general|Education, level unspecified",2010,83441646.6164
"Ghana - Micro,Small and Medium Enterprise Project",Ghana,"Banking and financial services|Government and civil society, general",2006,49414647.8084
Emergency Monrovia Urban Sanitation Project (EMUS) - Additional Financing,Liberia,Water supply and sanitation,2011,4000000.0
Niger - Competitiveness & Growth Support,Niger,"Trade policy and regulations|Banking and financial services|Government and civil society, general|Energy generation and supply|Transport and storage",2012,49092185.8269
Djibouti: Governance for Private Sector Development Project,Djibouti,"Trade policy and regulations|Government and civil society, general",2014,2000000.0
PRIVATIZATION SUPPORT PROJECT,Nigeria,"Water supply and sanitation|Energy generation and supply|Government and civil society, general",2001,142799004.42299998
CEMAC Transport and Transit Facilitation- Third Additional Financing,Africa,Transport and storage,2012,122730464.567
Emergency Youth Employment and Skills Development Project,Cote D'Ivoire,"Other social infrastructure and services|Education, level unspecified|Basic education|Secondary education",2011,50000000.0
Tanzania Strategic Cities Project AF,Tanzania,"Water supply and sanitation|Government and civil society, general|Transport and storage",2014,50000000.0
Liberia Road Asset Management Project - LIBRAMP,Liberia,Transport and storage,2011,67700000.0
Benin Multisectoral Food Health Nutrition Project,Benin,"Other social infrastructure and services|Health|Government and civil society, general",2013,28921587.544
Third Education Project - Phase II,Gambia,"Education, level unspecified|Secondary education|Government and civil society, general|Basic education",2006,8784826.27704
Public Sector Capacity and Performance for Service Delivery,Niger,"Agriculture, forestry, fishing|Health|Government and civil society, general|Education, level unspecified",2014,40000000.0
Seventh Poverty Reduction Support Credit (PRSC7),Mozambique,"Agriculture, forestry, fishing|Government and civil society, general",2010,86811994.6438
Second Government Reform & Growth Credit,Sierra Leone,"Banking and financial services|Mineral resources and mining|Government and civil society, general",2008,10439858.0501
Nigeria Youth Employment & Social Support Operation,Nigeria,"Other social infrastructure and services|Government and civil society, general|Secondary education",2013,309874152.257
Poverty Reduction Support Credit 4,Senegal,"Other social infrastructure and services|Health|Government and civil society, general|Education, level unspecified",2010,43916656.1139
AFCC2/RI-ACBF Regional Capacity Building Project,Eastern Africa,"Government and civil society, general",2011,25000000.0
Mother and Child Health Services Strengthening Project,Chad,"Health, general|Health",2014,15790000.0
Transport Corridors Project,Iraq,"Communications|Transport and storage|Government and civil society, general",2013,366684413.504
Regional Trade Facilitation Project - Tanzania,Tanzania,Banking and financial services,2001,18741666.518
KM-Electricity Sect. Recovery Proj(FY14),Comoros,Energy generation and supply,2013,5164569.20428
Private Sector Competitiveness Project Additional Financing,Tanzania,"Agriculture, forestry, fishing|Banking and financial services|Trade policy and regulations",2013,62181413.2195
Additional Financing for the Benin Energy Services Delivery Project,Benin,Water supply and sanitation|Energy generation and supply,2008,7307900.63506
BN-National Community Driven Development Project,Benin,"Other social infrastructure and services|Banking and financial services|Health|Government and civil society, general|Basic education",2004,58561761.7814
LIBERIA Electricity System Enhancement Project (LESEP),Liberia,Mineral resources and mining|Energy generation and supply,2010,10213175.8404
Fourth Export Finance Intermediation Loan (EFIL IV),Turkey,"Banking and financial services|Government and civil society, general",2008,626391483.005
Early Childhood Education Enhancement Project (ECEEP),Egypt,"Government and civil society, general|Basic education",2005,22671722.1131
Community Development Project (CDP),Lebanon,"Education, level unspecified|Health|Government and civil society, general|Other social infrastructure and services",2001,24988888.6906
Distance Learning Project,Benin,Communications|Secondary education,2000,2338151.28358
Emergency Post-Conflict Assistance Project,Cote D'Ivoire,"Education, level unspecified|Secondary education|Health|Government and civil society, general|Other social infrastructure and services",2007,128056825.814
The Gambia - Growth & Competitiveness,Gambia,"Agriculture, forestry, fishing|Banking and financial services|Government and civil society, general",2010,12255811.0085
ML- Governance and Budget Decentralization Technical Assistance Project,Mali,"Education, level unspecified|Other social infrastructure and services|Government and civil society, general|Health, general",2011,12000000.0
WATER SECTOR PROJECT,Niger,"Water supply and sanitation|Government and civil society, general",2001,59973332.8575
CAPACITY BUILDING FOR ECONOMIC MANAGEMENT PROJECT,Gambia,"Banking and financial services|Government and civil society, general",2001,18741666.518
Urban Water Supply and Sanitation Project,Ethiopia,"Water supply and sanitation|Government and civil society, general",2007,106714021.51200001
Togo: Economic Recovery and Gov. Grant 2,Togo,"Mineral resources and mining|Banking and financial services|Agriculture|Government and civil society, general|Energy generation and supply",2009,20699294.6198
Financial Sector Support Project,Tanzania,"Banking and financial services|Government and civil society, general",2006,16471549.2695
Burkina Faso - Additional Financing Electricity Sector Support Project,Burkina Faso,Energy generation and supply,2014,35000000.0
UGANDA North Eastern Road-corridor Asset Management Project (NERAMP),Uganda,Transport and storage,2014,243800000.0
Sierra Leone Energy Sector Utility Reform Project,Sierra Leone,Energy generation and supply,2013,41316553.6342
AFCC2/RI-Regional Pastoral Livelihoods Resilience Project,Eastern Africa,Industry|Agriculture,2014,122000000.0
Emergency Multisector Rehabilitation and Reconstruction Project,Democratic Republic of Congo,Water supply and sanitation|Other social infrastructure and services|Health|Energy generation and supply|Transport and storage,2002,558209633.341
Kampala Institutional and Infrastructure Development Project,Uganda,"Water supply and sanitation|Transport and storage|General environmental protection|Government and civil society, general",2007,35855911.2279
Private Sector/MSME Competitiveness,Tanzania,"Post-secondary education|Banking and financial services|Government and civil society, general|Secondary education",2005,107690680.037
"Swaziland Health, HIV/AIDS and TB Project",Swaziland,"Communications|Health, general|Health|Other social infrastructure and services",2011,20000000.0
LR Smallholder Tree Crop Revitalization Support Project,Liberia,"Agriculture|Transport and storage|Government and civil society, general",2012,14727655.7481
Second Governance and Competitiveness Development Policy Operation,Sao Tome and Principe,"Agriculture|Mineral resources and mining|Government and civil society, general",2013,5681026.1247
DRC Eastern Recovery Project,Democratic Republic of Congo,"Education, level unspecified|Agriculture, forestry, fishing|Industry|Government and civil society, general|Other social infrastructure and services",2014,79100000.0
Tanzania Agricultural Sector Development Project,Tanzania,"Agriculture, forestry, fishing|Industry|Agriculture|Government and civil society, general",2006,98829295.6167
Burundi Road Sector Development,Burundi,"Transport and storage|Government and civil society, general|General environmental protection",2004,60201491.1113
Northern Corridor Transport Improvement Project,Kenya,"Other social infrastructure and services|Health|Government and civil society, general|Transport and storage",2004,242445693.775
Guinea Electricity Sector Efficiency Improvement,Guinea,Energy generation and supply,2006,7906343.649339999
Djibouti Int'l Road Corridor Rehab. Project - Supplemental Credit,Djibouti,Transport and storage,2003,7225275.16858
Productive Social Safety Net Project,Guinea,Other social infrastructure and services|Health|Basic education,2012,24546092.9135
RESTORING EQUITABLE GROWTH AND EMPLOYMENT PROGRAMMATIC DEVELOPMENT POLICY LOAN,Turkey,"Education, level unspecified|Banking and financial services|Health|Government and civil society, general|Other social infrastructure and services",2010,1327712859.26
Rural Water Supply and Sanitation Project,Tanzania,"Water supply and sanitation|Health|Government and civil society, general",2002,31967952.5702
"SN - Electricity Sector Efficiency Enhancement - Phase 1, APL-1",Senegal,"Government and civil society, general|Energy generation and supply",2005,17797301.8588
ML-Fifth Poverty Reduction Support Credit,Mali,"Other social infrastructure and services|Government and civil society, general|Mineral resources and mining|Energy generation and supply|Agriculture, forestry, fishing",2011,70000000.0
Regional Trade Facilitation Project - Rwanda,Rwanda,Banking and financial services,2001,9370833.25899
DRC-Multi-Modal Transp Additional Financing,Democratic Republic of Congo,Transport and storage,2013,185924491.354
AFCC2/RI- Great Lakes Emergency Sexual and Gender Based Violence & Women's Health Project,Eastern Africa,"Health, general|Health|Other social infrastructure and services",2014,106960000.0
COMMUNITY ACTION PROGRAM (PAC2),Niger,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Agriculture, forestry, fishing",2008,31319574.1503
Malawi Third Social Action Fund (MASAF 3) APL II (LDF Mechanism),Malawi,"Education, level unspecified|Agriculture, forestry, fishing|Government and civil society, general|Other social infrastructure and services",2008,52199290.2504
Greater Maputo Water Supply Expansion Project,Mozambique,Water supply and sanitation,2013,183858663.67200002
Service Support Credit,Comoros,"Water supply and sanitation|Education, level unspecified|Health|Transport and storage|Other social infrastructure and services",2004,15577428.6339
Tanzania First Poverty Reduction Support Credit,Tanzania,"Water supply and sanitation|Agriculture, forestry, fishing|Banking and financial services|Government and civil society, general",2003,158956053.709
First Poverty Reduction Support Credit,Senegal,"Other social infrastructure and services|Health|Government and civil society, general|Secondary education",2004,35137057.0688
TRANSPORT INFRASTRUCTURE INVESTMENT PROJECT,Madagascar,"Transport and storage|Government and civil society, general",2003,180631879.215
Sustainable Management of Mineral Resources,Tanzania,Mineral resources and mining|Energy generation and supply,2009,51748236.5495
Rainfed Agriculture Development Project,Morocco,"Other social infrastructure and services|Agriculture|Transport and storage|Government and civil society, general|Agriculture, forestry, fishing",2003,32272895.753000002
BI-Agriculture Rehabilitation & Sustainable Land Management,Burundi,"Industry|Agriculture|Government and civil society, general",2004,40993233.247
Morocco - Second Public Administration Development Policy Loan,Morocco,"Government and civil society, general",2006,131772394.156
Port Cities Development Program,Yemen,"Communications|Transport and storage|Government and civil society, general",2003,28178573.1575
Social Fund for Development 3 (supplem.),Yemen,"Water supply and sanitation|Other social infrastructure and services|Banking and financial services|Government and civil society, general|Basic education",2007,16007103.2268
DJ Crisis Response - Social Safety Net Project,Djibouti,Other social infrastructure and services,2012,4909218.5826900005
Economic & Monetary Community of Central Africa Financial Institutions,Africa,Banking and financial services,2008,52199290.2504
Second Pollution Abatement Project,Egypt,"Water supply and sanitation|Agriculture, forestry, fishing|Industry|Agriculture",2006,21962065.6926
Ghana Third Agriculture Development Policy Operation,Ghana,"Industry|Agriculture|Government and civil society, general",2011,57000000.0
GW-Economic Governance Reform Grant III (EGRG 3),Guinea-Bissau,"Water supply and sanitation|Education, level unspecified|Government and civil society, general",2011,6400000.0
Rwanda Transport Sector Development Project,Rwanda,"Transport and storage|Government and civil society, general",2007,11738542.3663
Africa Emergency Locust Project,Africa,"Other social infrastructure and services|Agriculture|Government and civil society, general",2004,69688496.5199
Sana'a Basin Water Management Project,Yemen,Agriculture,2003,28901100.6743
Mauritius Second Private Sector Competitiveness DPL,Mauritius,Communications|Banking and financial services,2013,15493707.6128
Lebanon Fiscal Management Reform 2,Lebanon,"Government and civil society, general",2014,5200000.0
Fisheries Resource Management and Conservation,Yemen,"Agriculture|Transport and storage|Government and civil society, general",2005,28339652.6413
Second Population and AIDS Project,Chad,"Other social infrastructure and services|Health|Government and civil society, general",2001,30686355.3121
Tanzania - Housing Finance Project,Tanzania,Banking and financial services,2010,40852703.3618
Sierra Leone Safety Nets Project,Sierra Leone,Other social infrastructure and services|Health|Basic education,2014,7000000.0
Sierra Leone - Fifth Governance Reform and Growth Credit,Sierra Leone,"Water supply and sanitation|Energy generation and supply|Government and civil society, general|Mineral resources and mining",2012,23564249.1969
Power Project (04),Uganda,"Government and civil society, general|Energy generation and supply",2001,77465554.941
AF - Kandadji Niger Basin Water Resources Program APL2A,Africa,Water supply and sanitation|Other social infrastructure and services|Agriculture,2014,55200000.0
Third Education Project - Additional Financing,Gambia,"Education, level unspecified|Post-secondary education|Secondary education|Basic education",2010,5617246.71224
CV-DPL 3-PRSC VII,Cabo Verde,"Transport and storage|Government and civil society, general|Energy generation and supply|Secondary education",2012,11782124.5985
Regional Trade Facilitation Project - Burundi,Burundi,Banking and financial services,2001,9370833.25899
Development Learning Centre Project,Kenya,"Government and civil society, general|Secondary education",2003,3251373.8258599997
Administration Capacity Building Project,Burkina Faso,"Government and civil society, general",2005,7935102.739569999
Power Sector Recovery Project,Guinea,Energy generation and supply,2014,50000000.0
Stormwater Mgt. and Climate Change Adaptation Project,Senegal,Water supply and sanitation|General environmental protection,2012,54590510.6395
